"Notes"	"Year"	"Year Code"	"State"	"State Code"	Births	Total Population	Birth Rate	Female Population	Fertility Rate	Average Birth Weight	Average Age of Mother	Average LMP Gestational Age
	"2003"	"2003"	"Alabama"	"01"	59552	4503491	13.22	951564	62.58	3209.20	25.95	38.27
	"2003"	"2003"	"Alaska"	"02"	10086	648414	15.55	140642	71.71	3419.97	27.07	38.74
	"2003"	"2003"	"Arizona"	"04"	90967	5510364	16.51	1141784	79.67	3297.06	26.52	38.58
	"2003"	"2003"	"Arkansas"	"05"	37784	2724816	13.87	560096	67.46	3251.62	25.41	38.59
	"2003"	"2003"	"California"	"06"	540997	35253159	15.35	7741136	69.89	3331.41	28.05	38.83
	"2003"	"2003"	"Colorado"	"08"	69339	4528732	15.31	991347	69.94	3198.64	27.63	38.61
	"2003"	"2003"	"Connecticut"	"09"	42873	3484336	12.30	718093	59.70	3321.44	29.52	38.77
	"2003"	"2003"	"Delaware"	"10"	11329	818003	13.85	175838	64.43	3244.18	27.30	38.42
	"2003"	"2003"	"District of Columbia"	"11"	7619	568502	13.40	142560	53.44	3195.24	28.08	38.55
	"2003"	"2003"	"Florida"	"12"	212250	17004085	12.48	3378146	62.83	3257.28	27.37	38.61
	"2003"	"2003"	"Georgia"	"13"	135979	8622793	15.77	1952067	69.66	3248.62	26.85	38.34
	"2003"	"2003"	"Hawaii"	"15"	18100	1251154	14.47	254009	71.26	3246.70	28.04	38.82
	"2003"	"2003"	"Idaho"	"16"	21800	1363380	15.99	283578	76.87	3313.67	26.46	38.70
	"2003"	"2003"	"Illinois"	"17"	182495	12556006	14.53	2702366	67.53	3289.85	27.81	38.57
	"2003"	"2003"	"Indiana"	"18"	86434	6196638	13.95	1307994	66.08	3298.78	26.61	38.60
	"2003"	"2003"	"Iowa"	"19"	38174	2941999	12.98	594227	64.24	3366.12	27.14	38.82
	"2003"	"2003"	"Kansas"	"20"	39476	2723004	14.50	566089	69.73	3313.61	26.86	38.65
	"2003"	"2003"	"Kentucky"	"21"	55236	4117170	13.42	874127	63.19	3276.78	26.20	38.60
	"2003"	"2003"	"Louisiana"	"22"	65040	4521042	14.39	989326	65.74	3171.33	25.70	38.26
