"Notes"	"Year"	"Year Code"	"State"	"State Code"	Births	Total Population	Birth Rate	Female Population	Fertility Rate	Average Birth Weight	Average Age of Mother	Average LMP Gestational Age	Average OE Gestational Age
	"2007"	"2007"	"Alabama"	"01"	64804	4672840	13.87	958472	67.61	3176.27	25.94	38.15	38.08
	"2007"	"2007"	"Alaska"	"02"	11052	680300	16.25	141687	78.00	3415.34	26.81	38.78	38.72
	"2007"	"2007"	"Arizona"	"04"	102981	6167681	16.70	1246026	82.65	3285.32	26.69	38.57	38.45
	"2007"	"2007"	"Arkansas"	"05"	41378	2848650	14.53	569041	72.72	3219.23	25.47	38.44	38.27
	"2007"	"2007"	"California"	"06"	566414	36250311	15.63	7803744	72.58	3301.84	28.02	38.68	38.57
	"2007"	"2007"	"Colorado"	"08"	70809	4803868	14.74	1004684	70.48	3186.11	27.78	38.60	38.56
	"2007"	"2007"	"Connecticut"	"09"	41660	3527270	11.81	701587	59.38	3285.41	29.30	38.66	38.55
	"2007"	"2007"	"Delaware"	"10"	12170	871749	13.96	179779	67.69	3242.23	27.31	38.48	38.42
	"2007"	"2007"	"District of Columbia"	"11"	8864	574404	15.43	149303	59.37	3177.21	28.16	38.36	38.32
	"2007"	"2007"	"Florida"	"12"	239165	18367842	13.02	3578652	66.83	3232.64	27.25	38.47	38.31
	"2007"	"2007"	"Georgia"	"13"	151137	9349988	16.16	2054423	73.57	3210.58	26.83	38.23	38.30
	"2007"	"2007"	"Hawaii"	"15"	19134	1315675	14.54	259500	73.73	3248.59	28.01	38.75	38.45
	"2007"	"2007"	"Idaho"	"16"	25019	1505105	16.62	301581	82.96	3299.51	26.64	38.71	38.50
	"2007"	"2007"	"Illinois"	"17"	180836	12695866	14.24	2655310	68.10	3262.89	27.77	38.50	38.43
	"2007"	"2007"	"Indiana"	"18"	89864	6379599	14.09	1297846	69.24	3263.58	26.54	38.49	38.42
	"2007"	"2007"	"Iowa"	"19"	40886	2999212	13.63	581579	70.30	3342.72	27.08	38.70	38.57
	"2007"	"2007"	"Kansas"	"20"	42004	2783785	15.09	555015	75.68	3296.10	26.80	38.60	38.55
	"2007"	"2007"	"Kentucky"	"21"	59368	4256672	13.95	863480	68.75	3238.53	26.12	38.40	38.18
	"2007"	"2007"	"Louisiana"	"22"	66301	4375581	15.15	915760	72.40	3135.49	25.74	38.10	38.02
	"2007"	"2007"	"Maine"	"23"	14120	1327040	10.64	252918	55.83	3366.06	27.54	38.94	38.75
	"2007"	"2007"	"Maryland"	"24"	78095	5653408	13.81	1202376	64.95	3241.87	28.35	38.49	38.41
	"2007"	"2007"	"Massachusetts"	"25"	77967	6431559	12.12	1358274	57.40	3310.49	29.55	38.67	38.75
	"2007"	"2007"	"Michigan"	"26"	125261	10001284	12.52	2009754	62.33	3284.89	27.38	38.61	38.51
	"2007"	"2007"	"Minnesota"	"27"	73735	5207203	14.16	1062063	69.43	3352.08	28.09	38.72	38.71
	"2007"	"2007"	"Mississippi"	"28"	46491	2928350	15.88	609676	76.26	3115.72	25.16	38.09	38.02
	"2007"	"2007"	"Missouri"	"29"	81930	5887612	13.92	1189397	68.88	3276.77	26.52	38.55	38.48
	"2007"	"2007"	"Montana"	"30"	12439	964706	12.89	180948	68.74	3300.36	26.93	38.65	38.55
	"2007"	"2007"	"Nebraska"	"31"	26934	1783440	15.10	354570	75.96	3312.92	27.21	38.54	38.52
	"2007"	"2007"	"Nevada"	"32"	41181	2601072	15.83	538777	76.43	3237.25	27.11	38.38	38.36
	"2007"	"2007"	"New Hampshire"	"33"	14168	1312540	10.79	261089	54.27	3373.19	28.68	38.94	38.82
	"2007"	"2007"	"New Jersey"	"34"	116063	8677885	13.37	1762512	65.85	3256.48	29.34	38.60	38.44
	"2007"	"2007"	"New Mexico"	"35"	30616	1990070	15.38	397586	77.00	3192.36	25.89	38.59	38.54
	"2007"	"2007"	"New York"	"36"	253451	19132335	13.25	4069080	62.29	3267.10	28.78	38.65	38.59
	"2007"	"2007"	"North Carolina"	"37"	131037	9118037	14.37	1910018	68.61	3250.84	26.95	38.59	38.45
	"2007"	"2007"	"North Dakota"	"38"	8840	652822	13.54	128169	68.97	3347.88	26.98	38.55	38.46
	"2007"	"2007"	"Ohio"	"39"	150879	11500468	13.12	2293803	65.78	3252.42	26.95	38.46	38.35
	"2007"	"2007"	"Oklahoma"	"40"	55065	3634349	15.15	727495	75.69	3248.73	25.70	38.45	38.37
	"2007"	"2007"	"Oregon"	"41"	49378	3722417	13.27	743945	66.37	3364.66	27.57	38.81	38.78
	"2007"	"2007"	"Pennsylvania"	"42"	150713	12563937	12.00	2469273	61.04	3279.79	27.83	38.64	38.53
	"2007"	"2007"	"Rhode Island"	"44"	12376	1057315	11.71	221482	55.88	3287.16	28.08	38.68	38.50
	"2007"	"2007"	"South Carolina"	"45"	62875	4444110	14.15	915628	68.67	3195.79	26.29	38.28	38.23
	"2007"	"2007"	"South Dakota"	"46"	12261	791623	15.49	152360	80.47	3313.67	26.70	38.54	38.63
	"2007"	"2007"	"Tennessee"	"47"	86711	6175727	14.04	1271670	68.19	3219.10	26.20	38.36	38.24
	"2007"	"2007"	"Texas"	"48"	407625	23831983	17.10	5145376	79.22	3231.72	26.50	38.37	38.28
	"2007"	"2007"	"Utah"	"49"	55130	2597746	21.22	576269	95.67	3265.98	27.04	38.52	38.39
	"2007"	"2007"	"Vermont"	"50"	6513	623481	10.45	122445	53.19	3382.24	28.09	39.10	38.90
	"2007"	"2007"	"Virginia"	"51"	108884	7751000	14.05	1642959	66.27	3261.75	27.92	38.60	38.42
	"2007"	"2007"	"Washington"	"53"	88978	6461587	13.77	1334091	66.70	3364.24	27.86	38.81	38.68
	"2007"	"2007"	"West Virginia"	"54"	21994	1834052	11.99	347854	63.23	3217.43	26.10	38.40	38.20
	"2007"	"2007"	"Wisconsin"	"55"	72784	5610775	12.97	1119562	65.01	3335.75	27.59	38.75	38.78
	"2007"	"2007"	"Wyoming"	"56"	7893	534876	14.76	103196	76.49	3184.78	26.04	38.60	38.41
"Total"	"2007"	"2007"			4316233	301231207	14.33	62292084	69.29	3262.70	27.37	38.53	38.45
	"2008"	"2008"	"Alabama"	"01"	64546	4718206	13.68	960680	67.19	3168.20	25.97	38.24	38.08
	"2008"	"2008"	"Alaska"	"02"	11442	687455	16.64	140747	81.29	3409.41	26.81	38.81	38.70
	"2008"	"2008"	"Arizona"	"04"	99442	6280362	15.83	1259250	78.97	3280.89	26.82	38.54	38.42
	"2008"	"2008"	"Arkansas"	"05"	40669	2874554	14.15	569079	71.46	3215.04	25.54	38.49	38.23
	"2008"	"2008"	"California"	"06"	551779	36604337	15.07	7828450	70.48	3300.90	28.10	38.70	38.56
	"2008"	"2008"	"Colorado"	"08"	70031	4889730	14.32	1012966	69.13	3192.05	27.81	38.66	38.54
	"2008"	"2008"	"Connecticut"	"09"	40399	3545579	11.39	699195	57.78	3292.93	29.22	38.68	38.54
	"2008"	"2008"	"Delaware"	"10"	12090	883874	13.68	179986	67.17	3256.28	27.31	38.60	38.43
	"2008"	"2008"	"District of Columbia"	"11"	9130	580236	15.73	152846	59.73	3189.53	28.16	38.43	38.39
	"2008"	"2008"	"Florida"	"12"	231445	18527305	12.49	3575057	64.74	3227.43	27.34	38.45	38.27
	"2008"	"2008"	"Georgia"	"13"	146603	9504843	15.42	2070606	70.80	3204.58	26.90	38.28	38.26
	"2008"	"2008"	"Hawaii"	"15"	19484	1332213	14.63	260557	74.78	3246.75	28.10	38.76	38.45
	"2008"	"2008"	"Idaho"	"16"	25149	1534320	16.39	304773	82.52	3304.87	26.72	38.82	38.51
	"2008"	"2008"	"Illinois"	"17"	176795	12747038	13.87	2648509	66.75	3265.75	27.86	38.54	38.43
	"2008"	"2008"	"Indiana"	"18"	88742	6424806	13.81	1295656	68.49	3266.35	26.63	38.54	38.41
	"2008"	"2008"	"Iowa"	"19"	40224	3016734	13.33	579260	69.44	3349.40	27.10	38.72	38.55
	"2008"	"2008"	"Kansas"	"20"	41833	2808076	14.90	553668	75.56	3291.43	26.74	38.63	38.52
	"2008"	"2008"	"Kentucky"	"21"	58375	4289878	13.61	861979	67.72	3240.72	26.14	38.46	38.21
	"2008"	"2008"	"Louisiana"	"22"	65268	4435586	14.71	920542	70.90	3150.21	25.80	38.19	38.05
	"2008"	"2008"	"Maine"	"23"	13609	1330509	10.23	249522	54.54	3364.85	27.51	39.00	38.78
	"2008"	"2008"	"Maryland"	"24"	77289	5684965	13.60	1196743	64.58	3240.28	28.36	38.52	38.41
	"2008"	"2008"	"Massachusetts"	"25"	77022	6468967	11.91	1355631	56.82	3311.87	29.63	38.72	38.74
	"2008"	"2008"	"Michigan"	"26"	121127	9946889	12.18	1973631	61.37	3279.47	27.40	38.64	38.49
	"2008"	"2008"	"Minnesota"	"27"	72421	5247018	13.80	1056396	68.55	3357.21	28.17	38.78	38.70
	"2008"	"2008"	"Mississippi"	"28"	44947	2947806	15.25	608503	73.86	3123.03	25.29	38.12	38.02
	"2008"	"2008"	"Missouri"	"29"	80963	5923916	13.67	1184136	68.37	3273.24	26.59	38.59	38.46
	"2008"	"2008"	"Montana"	"30"	12594	976415	12.90	181076	69.55	3289.69	26.78	38.65	38.51
	"2008"	"2008"	"Nebraska"	"31"	26989	1796378	15.02	353716	76.30	3311.12	27.28	38.59	38.52
	"2008"	"2008"	"Nevada"	"32"	39506	2653630	14.89	548040	72.09	3236.92	27.20	38.43	38.38
	"2008"	"2008"	"New Hampshire"	"33"	13683	1315906	10.40	257338	53.17	3374.43	28.61	38.98	38.82
	"2008"	"2008"	"New Jersey"	"34"	112710	8711090	12.94	1752652	64.31	3257.53	29.36	38.62	38.42
	"2008"	"2008"	"New Mexico"	"35"	30173	2010662	15.01	396611	76.08	3197.67	25.90	38.72	38.57
	"2008"	"2008"	"New York"	"36"	250383	19212436	13.03	4062354	61.63	3263.94	28.80	38.66	38.57
	"2008"	"2008"	"North Carolina"	"37"	130839	9309449	14.05	1933646	67.66	3253.38	26.97	38.64	38.47
	"2008"	"2008"	"North Dakota"	"38"	8938	657569	13.59	127636	70.03	3337.80	27.07	38.63	38.44
	"2008"	"2008"	"Ohio"	"39"	148821	11515391	12.92	2273237	65.47	3255.15	26.92	38.51	38.37
	"2008"	"2008"	"Oklahoma"	"40"	54781	3668976	14.93	728647	75.18	3243.08	25.71	38.44	38.31
	"2008"	"2008"	"Oregon"	"41"	49096	3768748	13.03	749228	65.53	3368.45	27.56	38.89	38.76
	"2008"	"2008"	"Pennsylvania"	"42"	149273	12612285	11.84	2460254	60.67	3279.33	27.81	38.66	38.50
	"2008"	"2008"	"Rhode Island"	"44"	12048	1055003	11.42	218637	55.11	3299.46	28.12	38.74	38.50
	"2008"	"2008"	"South Carolina"	"45"	63071	4528996	13.93	925213	68.17	3205.18	26.32	38.38	38.26
	"2008"	"2008"	"South Dakota"	"46"	12071	799124	15.11	151876	79.48	3324.94	26.81	38.54	38.61
	"2008"	"2008"	"Tennessee"	"47"	85560	6247411	13.70	1275355	67.09	3220.48	26.22	38.41	38.26
	"2008"	"2008"	"Texas"	"48"	405554	24309039	16.68	5210018	77.84	3226.44	26.56	38.40	38.26
	"2008"	"2008"	"Utah"	"49"	55634	2663029	20.89	586879	94.80	3269.62	27.15	38.55	38.39
	"2008"	"2008"	"Vermont"	"50"	6339	624151	10.16	120761	52.49	3367.37	28.07	39.10	38.85
	"2008"	"2008"	"Virginia"	"51"	106686	7833496	13.62	1644350	64.88	3264.37	28.01	38.68	38.42
