"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"1968"	"1968"	"Alabama"	"01"	33553	3389630	989.9	979.3	1000.5
	"1968"	"1968"	"Alaska"	"02"	1349	288511	467.6	442.6	492.5
	"1968"	"1968"	"Arizona"	"04"	13780	1635753	842.4	828.4	856.5
	"1968"	"1968"	"Arkansas"	"05"	20947	1868694	1120.9	1105.8	1136.1
	"1968"	"1968"	"California"	"06"	160806	19577730	821.4	817.4	825.4
	"1968"	"1968"	"Colorado"	"08"	17726	2097804	845.0	832.5	857.4
	"1968"	"1968"	"Connecticut"	"09"	26790	3000614	892.8	882.1	903.5
	"1968"	"1968"	"Delaware"	"10"	4896	527786	927.6	901.7	953.6
	"1968"	"1968"	"District of Columbia"	"11"	8805	772686	1139.5	1115.7	1163.3
	"1968"	"1968"	"Florida"	"12"	69680	6347790	1097.7	1089.6	1105.9
	"1968"	"1968"	"Georgia"	"13"	41385	4445076	931.0	922.1	940.0
	"1968"	"1968"	"Hawaii"	"15"	4113	748941	549.2	532.4	566.0
	"1968"	"1968"	"Idaho"	"16"	6012	682954	880.3	858.0	902.5
	"1968"	"1968"	"Illinois"	"17"	113192	11030373	1026.2	1020.2	1032.2
	"1968"	"1968"	"Indiana"	"18"	49562	5140340	964.2	955.7	972.7
	"1968"	"1968"	"Iowa"	"19"	29900	2800640	1067.6	1055.5	1079.7
	"1968"	"1968"	"Kansas"	"20"	22522	2262716	995.4	982.4	1008.4
	"1968"	"1968"	"Kentucky"	"21"	33083	3130971	1056.6	1045.3	1068.0
	"1968"	"1968"	"Louisiana"	"22"	34350	3575874	960.6	950.4	970.8
	"1968"	"1968"	"Maine"	"23"	11117	968248	1148.2	1126.8	1169.5
	"1968"	"1968"	"Maryland"	"24"	32642	3808464	857.1	847.8	866.4
	"1968"	"1968"	"Massachusetts"	"25"	59433	5641784	1053.4	1045.0	1061.9
	"1968"	"1968"	"Michigan"	"26"	77473	8793156	881.1	874.9	887.3
	"1968"	"1968"	"Minnesota"	"27"	33903	3757906	902.2	892.6	911.8
	"1968"	"1968"	"Mississippi"	"28"	24014	2166528	1108.4	1094.4	1122.4
	"1968"	"1968"	"Missouri"	"29"	52168	4633208	1126.0	1116.3	1135.6
	"1968"	"1968"	"Montana"	"30"	6552	676270	968.8	945.4	992.3
	"1968"	"1968"	"Nebraska"	"31"	15024	1465971	1024.8	1008.5	1041.2
	"1968"	"1968"	"Nevada"	"32"	3534	451275	783.1	757.3	808.9
	"1968"	"1968"	"New Hampshire"	"33"	7430	707513	1050.2	1026.3	1074.0
	"1968"	"1968"	"New Jersey"	"34"	68782	7043790	976.5	969.2	983.8
	"1968"	"1968"	"New Mexico"	"35"	7157	977218	732.4	715.4	749.4
	"1968"	"1968"	"New York"	"36"	193167	18150160	1064.3	1059.5	1069.0
	"1968"	"1968"	"North Carolina"	"37"	44339	4953541	895.1	886.8	903.4
	"1968"	"1968"	"North Dakota"	"38"	5601	609577	918.8	894.8	942.9
	"1968"	"1968"	"Ohio"	"39"	102993	10590808	972.5	966.5	978.4
	"1968"	"1968"	"Oklahoma"	"40"	25740	2495953	1031.3	1018.7	1043.9
	"1968"	"1968"	"Oregon"	"41"	19048	2021946	942.1	928.7	955.4
	"1968"	"1968"	"Pennsylvania"	"42"	131275	11730765	1119.1	1113.0	1125.1
	"1968"	"1968"	"Rhode Island"	"44"	9728	934364	1041.1	1020.4	1061.8
	"1968"	"1968"	"South Carolina"	"45"	23453	2509155	934.7	922.7	946.7
	"1968"	"1968"	"South Dakota"	"46"	6539	663937	984.9	961.0	1008.8
	"1968"	"1968"	"Tennessee"	"47"	37478	3828995	978.8	968.9	988.7
	"1968"	"1968"	"Texas"	"48"	93163	10844761	859.1	853.5	864.6
	"1968"	"1968"	"Utah"	"49"	6886	1012780	679.9	663.9	696.0
	"1968"	"1968"	"Vermont"	"50"	4562	433198	1053.1	1022.5	1083.7
	"1968"	"1968"	"Virginia"	"51"	39814	4537069	877.5	868.9	886.1
	"1968"	"1968"	"Washington"	"53"	30466	3382136	900.8	890.7	910.9
	"1968"	"1968"	"West Virginia"	"54"	19789	1717533	1152.2	1136.1	1168.2
	"1968"	"1968"	"Wisconsin"	"55"	41400	4376368	946.0	936.9	955.1
	"1968"	"1968"	"Wyoming"	"56"	2961	324329	913.0	880.1	945.8
"Total"	"1968"	"1968"			1930082	199533589	967.3	965.9	968.7
	"1969"	"1969"	"Alabama"	"01"	33808	3420646	988.4	977.8	998.9
	"1969"	"1969"	"Alaska"	"02"	1303	296304	439.8	415.9	463.6
	"1969"	"1969"	"Arizona"	"04"	14031	1714047	818.6	805.0	832.1
	"1969"	"1969"	"Arkansas"	"05"	20750	1899459	1092.4	1077.6	1107.3
	"1969"	"1969"	"California"	"06"	166077	19795002	839.0	834.9	843.0
	"1969"	"1969"	"Colorado"	"08"	17117	2160332	792.3	780.5	804.2
	"1969"	"1969"	"Connecticut"	"09"	26222	3014506	869.9	859.3	880.4
	"1969"	"1969"	"Delaware"	"10"	4755	539000	882.2	857.1	907.3
	"1969"	"1969"	"District of Columbia"	"11"	8814	764667	1152.7	1128.6	1176.7
	"1969"	"1969"	"Florida"	"12"	72744	6598252	1102.5	1094.5	1110.5
