"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"1979"	"1979"	"Alabama"	"01"	34457	3873403	889.6	880.2	899.0
	"1979"	"1979"	"Alaska"	"02"	1567	404735	387.2	368.0	406.3
	"1979"	"1979"	"Arizona"	"04"	19782	2643879	748.2	737.8	758.6
	"1979"	"1979"	"Arkansas"	"05"	21550	2270804	949.0	936.3	961.7
	"1979"	"1979"	"California"	"06"	177399	23304422	761.2	757.7	764.8
	"1979"	"1979"	"Colorado"	"08"	18450	2854156	646.4	637.1	655.8
	"1979"	"1979"	"Connecticut"	"09"	26053	3101686	840.0	829.8	850.2
	"1979"	"1979"	"Delaware"	"10"	4897	599476	816.9	794.0	839.8
	"1979"	"1979"	"District of Columbia"	"11"	6864	658050	1043.1	1018.4	1067.8
	"1979"	"1979"	"Florida"	"12"	98524	9480731	1039.2	1032.7	1045.7
	"1979"	"1979"	"Georgia"	"13"	43062	5397054	797.9	790.3	805.4
	"1979"	"1979"	"Hawaii"	"15"	4870	952438	511.3	497.0	525.7
	"1979"	"1979"	"Idaho"	"16"	6393	934621	684.0	667.3	700.8
	"1979"	"1979"	"Illinois"	"17"	102227	11440371	893.6	888.1	899.0
	"1979"	"1979"	"Indiana"	"18"	46731	5479304	852.9	845.1	860.6
	"1979"	"1979"	"Iowa"	"19"	26849	2919960	919.5	908.5	930.5
	"1979"	"1979"	"Kansas"	"20"	21150	2351528	899.4	887.3	911.5
	"1979"	"1979"	"Kentucky"	"21"	32482	3646979	890.7	881.0	900.3
	"1979"	"1979"	"Louisiana"	"22"	34771	4148645	838.1	829.3	846.9
	"1979"	"1979"	"Maine"	"23"	10296	1125556	914.7	897.1	932.4
	"1979"	"1979"	"Maryland"	"24"	32747	4227079	774.7	766.3	783.1
	"1979"	"1979"	"Massachusetts"	"25"	52028	5748843	905.0	897.2	912.8
	"1979"	"1979"	"Michigan"	"26"	73701	9257009	796.2	790.4	801.9
	"1979"	"1979"	"Minnesota"	"27"	32089	4043445	793.6	784.9	802.3
	"1979"	"1979"	"Mississippi"	"28"	22985	2511256	915.3	903.4	927.1
	"1979"	"1979"	"Missouri"	"29"	48002	4896275	980.4	971.6	989.1
	"1979"	"1979"	"Montana"	"30"	6476	790598	819.1	799.2	839.1
	"1979"	"1979"	"Nebraska"	"31"	14247	1566773	909.3	894.4	924.3
	"1979"	"1979"	"Nevada"	"32"	5388	766883	702.6	683.8	721.3
	"1979"	"1979"	"New Hampshire"	"33"	7460	912305	817.7	799.2	836.3
	"1979"	"1979"	"New Jersey"	"34"	65745	7376891	891.2	884.4	898.0
	"1979"	"1979"	"New Mexico"	"35"	8722	1283865	679.4	665.1	693.6
	"1979"	"1979"	"New York"	"36"	164508	17642635	932.4	927.9	937.0
	"1979"	"1979"	"North Carolina"	"37"	46675	5805293	804.0	796.7	811.3
	"1979"	"1979"	"North Dakota"	"38"	5361	653417	820.5	798.5	842.4
	"1979"	"1979"	"Ohio"	"39"	94946	10809033	878.4	872.8	884.0
	"1979"	"1979"	"Oklahoma"	"40"	27841	2974068	936.1	925.1	947.1
	"1979"	"1979"	"Oregon"	"41"	21056	2581971	815.5	804.5	826.5
	"1979"	"1979"	"Pennsylvania"	"42"	117402	11882234	988.0	982.4	993.7
	"1979"	"1979"	"Rhode Island"	"44"	9090	957016	949.8	930.3	969.4
	"1979"	"1979"	"South Carolina"	"45"	24363	3090454	788.3	778.4	798.2
	"1979"	"1979"	"South Dakota"	"46"	6345	690740	918.6	896.0	941.2
	"1979"	"1979"	"Tennessee"	"47"	38789	4537642	854.8	846.3	863.3
	"1979"	"1979"	"Texas"	"48"	104921	13916436	753.9	749.4	758.5
	"1979"	"1979"	"Utah"	"49"	7890	1421446	555.1	542.8	567.3
	"1979"	"1979"	"Vermont"	"50"	4179	506115	825.7	800.7	850.7
	"1979"	"1979"	"Virginia"	"51"	40809	5329589	765.7	758.3	773.1
	"1979"	"1979"	"Washington"	"53"	30481	4018920	758.4	749.9	767.0
	"1979"	"1979"	"West Virginia"	"54"	18965	1940160	977.5	963.6	991.4
	"1979"	"1979"	"Wisconsin"	"55"	39183	4671398	838.8	830.5	847.1
	"1979"	"1979"	"Wyoming"	"56"	3073	453287	677.9	654.0	701.9
"Total"	"1979"	"1979"			1913841	224850874	851.2	850.0	852.4
	"1980"	"1980"	"Alabama"	"01"	35542	3898117	911.8	902.3	921.3
	"1980"	"1980"	"Alaska"	"02"	1714	403594	424.7	404.6	444.8
	"1980"	"1980"	"Arizona"	"04"	21367	2725485	784.0	773.5	794.5
	"1980"	"1980"	"Arkansas"	"05"	22744	2288599	993.8	980.9	1006.7
	"1980"	"1980"	"California"	"06"	186624	23729183	786.5	782.9	790.0
	"1980"	"1980"	"Colorado"	"08"	18956	2896401	654.5	645.2	663.8
	"1980"	"1980"	"Connecticut"	"09"	27275	3109321	877.2	866.8	887.6
	"1980"	"1980"	"Delaware"	"10"	5044	595519	847.0	823.6	870.4
	"1980"	"1980"	"District of Columbia"	"11"	7108	640822	1109.2	1083.4	1135.0
	"1980"	"1980"	"Florida"	"12"	104670	9764074	1072.0	1065.5	1078.5
	"1980"	"1980"	"Georgia"	"13"	44262	5472448	808.8	801.3	816.4
	"1980"	"1980"	"Hawaii"	"15"	4981	967282	514.9	500.6	529.2
	"1980"	"1980"	"Idaho"	"16"	6763	945395	715.4	698.3	732.4
	"1980"	"1980"	"Illinois"	"17"	102935	11448136	899.1	893.6	904.6
	"1980"	"1980"	"Indiana"	"18"	47345	5494918	861.6	853.9	869.4
	"1980"	"1980"	"Iowa"	"19"	27120	2917312	929.6	918.6	940.7
	"1980"	"1980"	"Kansas"	"20"	22034	2368222	930.4	918.1	942.7
	"1980"	"1980"	"Kentucky"	"21"	33796	3663841	922.4	912.6	932.3
	"1980"	"1980"	"Louisiana"	"22"	35651	4215763	845.7	836.9	854.4
	"1980"	"1980"	"Maine"	"23"	10800	1125413	959.6	941.5	977.7
	"1980"	"1980"	"Maryland"	"24"	34016	4222450	805.6	797.0	814.2
	"1980"	"1980"	"Massachusetts"	"25"	55070	5742222	959.0	951.0	967.0
	"1980"	"1980"	"Michigan"	"26"	75187	9270570	811.0	805.2	816.8
	"1980"	"1980"	"Minnesota"	"27"	33366	4082304	817.3	808.6	826.1
	"1980"	"1980"	"Mississippi"	"28"	23656	2525447	936.7	924.8	948.6
	"1980"	"1980"	"Missouri"	"29"	49660	4924814	1008.4	999.5	1017.2
	"1980"	"1980"	"Montana"	"30"	6666	788004	845.9	825.6	866.2
	"1980"	"1980"	"Nebraska"	"31"	14474	1572604	920.4	905.4	935.4
	"1980"	"1980"	"Nevada"	"32"	5896	802587	734.6	715.9	753.4
	"1980"	"1980"	"New Hampshire"	"33"	7647	921857	829.5	810.9	848.1
	"1980"	"1980"	"New Jersey"	"34"	68943	7369031	935.6	928.6	942.6
	"1980"	"1980"	"New Mexico"	"35"	9093	1306062	696.2	681.9	710.5
	"1980"	"1980"	"New York"	"36"	172853	17569902	983.8	979.2	988.4
	"1980"	"1980"	"North Carolina"	"37"	48440	5885456	823.0	815.7	830.4
	"1980"	"1980"	"North Dakota"	"38"	5596	653755	856.0	833.6	878.4
	"1980"	"1980"	"Ohio"	"39"	98421	10809348	910.5	904.8	916.2
	"1980"	"1980"	"Oklahoma"	"40"	28234	3030739	931.6	920.7	942.5
	"1980"	"1980"	"Oregon"	"41"	21798	2636626	826.7	815.8	837.7
	"1980"	"1980"	"Pennsylvania"	"42"	123594	11873224	1040.9	1035.1	1046.8
	"1980"	"1980"	"Rhode Island"	"44"	9325	948005	983.6	963.7	1003.6
	"1980"	"1980"	"South Carolina"	"45"	25154	3126100	804.6	794.7	814.6
	"1980"	"1980"	"South Dakota"	"46"	6556	692365	946.9	924.0	969.8
	"1980"	"1980"	"Tennessee"	"47"	40774	4595143	887.3	878.7	895.9
	"1980"	"1980"	"Texas"	"48"	108180	14268965	758.1	753.6	762.7
	"1980"	"1980"	"Utah"	"49"	8120	1464846	554.3	542.3	566.4
	"1980"	"1980"	"Vermont"	"50"	4582	512144	894.7	868.8	920.6
	"1980"	"1980"	"Virginia"	"51"	42506	5353138	794.0	786.5	801.6
	"1980"	"1980"	"Washington"	"53"	32007	4138795	773.3	764.9	781.8
	"1980"	"1980"	"West Virginia"	"54"	19237	1949995	986.5	972.6	1000.5
	"1980"	"1980"	"Wisconsin"	"55"	40838	4711208	866.8	858.4	875.2
	"1980"	"1980"	"Wyoming"	"56"	3221	471153	683.6	660.0	707.3
"Total"	"1980"	"1980"			1989841	226888704	877.0	875.8	878.2
	"1981"	"1981"	"Alabama"	"01"	35412	3920097	903.3	893.9	912.8
	"1981"	"1981"	"Alaska"	"02"	1723	420161	410.1	390.7	429.4
	"1981"	"1981"	"Arizona"	"04"	21358	2816864	758.2	748.1	768.4
	"1981"	"1981"	"Arkansas"	"05"	22372	2293696	975.4	962.6	988.2
	"1981"	"1981"	"California"	"06"	184987	24344273	759.9	756.4	763.3
	"1981"	"1981"	"Colorado"	"08"	19388	2983957	649.7	640.6	658.9
	"1981"	"1981"	"Connecticut"	"09"	26768	3131032	854.9	844.7	865.2
	"1981"	"1981"	"Delaware"	"10"	5073	596658	850.2	826.8	873.6
	"1981"	"1981"	"District of Columbia"	"11"	6954	638852	1088.5	1062.9	1114.1
	"1981"	"1981"	"Florida"	"12"	109127	10208144	1069.0	1062.7	1075.4
	"1981"	"1981"	"Georgia"	"13"	44892	5572350	805.6	798.2	813.1
	"1981"	"1981"	"Hawaii"	"15"	4991	980258	509.2	495.0	523.3
	"1981"	"1981"	"Idaho"	"16"	6929	962481	719.9	703.0	736.9
	"1981"	"1981"	"Illinois"	"17"	101819	11455471	888.8	883.4	894.3
	"1981"	"1981"	"Indiana"	"18"	47309	5480835	863.2	855.4	870.9
	"1981"	"1981"	"Iowa"	"19"	26949	2908684	926.5	915.4	937.6
	"1981"	"1981"	"Kansas"	"20"	21701	2388484	908.6	896.5	920.7
	"1981"	"1981"	"Kentucky"	"21"	33283	3670577	906.8	897.0	916.5
	"1981"	"1981"	"Louisiana"	"22"	36024	4290182	839.7	831.0	848.4
	"1981"	"1981"	"Maine"	"23"	10387	1133551	916.3	898.7	933.9
	"1981"	"1981"	"Maryland"	"24"	33949	4266825	795.7	787.2	804.1
	"1981"	"1981"	"Massachusetts"	"25"	52982	5773757	917.6	909.8	925.4
	"1981"	"1981"	"Michigan"	"26"	75842	9211052	823.4	817.5	829.2
	"1981"	"1981"	"Minnesota"	"27"	32837	4116561	797.7	789.1	806.3
