Year,DeathRate
2022,9.075
2021,8.977
2020,8.880
2019,8.782
2018,8.685
2017,8.580
2016,8.475
2015,8.369
2014,8.264
2013,8.159
2012,8.152
2011,8.145
2010,8.138
2009,8.131
2008,8.124
2007,8.203
2006,8.282
2005,8.362
2004,8.441
2003,8.520
2002,8.548
2001,8.576
2000,8.603
1999,8.631
1998,8.659
1997,8.691
1996,8.722
1995,8.754
1994,8.785
1993,8.817
1992,8.844
1991,8.871
1990,8.898
1989,8.925
1988,8.952
1987,8.927
1986,8.903
1985,8.878
1984,8.854
1983,8.829
1982,8.833
1981,8.837
1980,8.841
1979,8.845
1978,8.849
1977,8.959
1976,9.069
1975,9.178
1974,9.288
1973,9.398
1972,9.437
1971,9.476
1970,9.516
1969,9.555
1968,9.594
1967,9.564
1966,9.534
1965,9.503
1964,9.473
1963,9.443
1962,9.436
1961,9.429
1960,9.423
1959,9.416
1958,9.409
1957,9.439
1956,9.469
1955,9.499
1954,9.529
1953,9.559
1952,9.589
1951,9.619
1950,9.649
