Country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,44.13865,43.88485,43.6945,43.4407,43.1869,42.9331,42.74275,42.48895,42.23515,42.0448,41.791,41.5372,41.34685,41.09305,40.83925,40.58545,40.3951,40.1413,39.8875,39.69715,39.44335,39.18955,38.9992,38.7454,38.4916,30.538,30.757,31.246,31.841,32.54,33.337,34.214,35.145,36.08,36.931,37.601,37.994,38.025,37.659,36.928,35.932,34.819,33.754,32.863,32.201,31.779,31.555,31.419,31.279,31.098,30.836,30.472,30.022,29.514,28.968,28.431,27.964,27.602,27.358,27.22,27.14,27.044,26.866,26.566,26.138,25.615,25.055,24.526,24.076,23.718,23.439,23.206,22.967,22.684,22.343,21.936,21.466,20.956,20.434,19.916,19.424,18.977,18.586,18.255,17.987,17.778,17.621,17.497,17.389,17.287,17.183
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,48.32635,48.19945,48.07255,47.8822,47.7553,47.6284,47.5015,47.31115,47.18425,47.05735,46.93045,46.80355,46.6132,46.4863,46.3594,46.2325,46.04215,45.91525,45.78835,45.66145,55.2,55.03,54.86,54.69,54.52,54.35,54.18,54.01,53.84,53.67,53.5,53.33,53.16,52.99,52.82,52.65,52.48,52.31,52.14,51.97,51.8,51.425,51.05,50.675,50.3,49.925,49.55,49.175,48.8,48.425,48.05,47.675,47.3,46.925,46.55,46.175,45.8,45.425,45.05,44.675,44.3,44.075,43.85,43.625,43.4,43.175,42.95,42.725,42.5,42.275,42.05,41.825,41.6,41.375,41.15,40.925,40.7,40.475,40.25,40.025,39.8,39.425,39.05,38.675,38.3,37.925,37.55,37.175,36.8,36.425,36.05,35.675,35.3,34.925,34.55,34.175,33.8,33.425,33.05,32.675,32.3,32.04444444,31.78888889,31.53333333,31.27777778,31.02222222,30.76666667,30.51111111,30.25555556,30,30.1,29.9,29.8,29.5,29.9,29.5,29.1,28.5,28.2,26.1,27.7,28.1,26.2,26,26.1,25.1,24.2,23.5,22.2,21.2,21.3,20.2,19.5,18.4,19,18.7,19,18.7,19.2,18.8,19.4,20.3,22.2,22.7,21.2,20.4,24.1,26.6,24.9,24.5,23.71,23.928,24.313,24.599,24.784,24.869,24.852,24.731,24.505,24.169,23.72,23.159,22.491,21.735,20.918,20.075,19.24,18.443,17.711,17.066,16.519,16.071,15.702,15.398,15.155,14.976,14.867,14.825,14.845,14.915,15.021,15.15,15.288,15.421,15.537,15.63,15.698,15.746,15.776,15.783,15.756,15.684,15.562,15.396,15.195,14.974,14.755,14.556,14.391,14.266,14.185,14.145,14.13,14.123,14.11,14.074,13.993,13.862,13.684,13.466,13.228,12.996,12.795,12.642,12.544,12.499
Virgin Islands (U.S.),38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.93575,38.80885,38.7454,38.6185,38.4916,38.42815,38.30125,38.2378,38.1109,37.984,37.92055,37.79365,37.66675,37.6033,37.4764,37.41295,37.28605,37.15915,37.0957,36.9688,36.8419,36.77845,36.65155,36.52465,36.4612,34.324,34.196,34.023,34.013,34.165,34.482,34.968,35.622,36.442,37.435,38.596,39.907,41.326,42.777,44.154,45.299,46.052,46.321,46.057,45.251,43.915,42.108,39.983,37.704,35.396,33.183,31.16,29.36,27.81,26.544,25.589,24.941,24.532,24.287,24.151,24.067,23.988,23.877,23.694,23.4,22.945,22.288,21.45,20.47,19.39,18.276,17.203,16.239,15.442,14.846,14.482,14.358,14.424,14.618,14.892,15.178,15.408,15.538,15.542,15.407,15.144,14.786,14.392,14.012,13.668,13.374
US Minor Outlying Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
