Year,Population1,NumberLiveBirths,RateLiveBirths,NumberDeaths,RateDeaths,NumberInfantDeaths,RateInfantDeaths,NumberMaternalDeaths,RateMaternalDeaths,NumberFetalDeaths,RatioFetalDeaths
1910,"1,142,000","19,916",17.4,"11,502",10.1,"1,862",93.5,194,974.1,705,35.4
1911,"1,168,800","20,728",17.7,"10,845",9.3,"1,531",73.9,177,853.9,699,33.7
1912,"1,190,600","20,683",17.4,"10,187",8.6,"1,365",66,179,865.4,724,35
1913,"1,212,400","21,200",17.5,"11,397",9.4,"1,566",73.9,178,839.6,688,32.5
1914,"1,234,000","23,008",18.6,"11,448",9.3,"1,540",66.9,152,660.6,783,34
1915,"1,256,000","24,046",19.1,"11,895",9.5,"1,461",60.8,156,648.8,779,32.4
1916,"1,277,800","23,831",18.7,"11,805",9.2,"1,531",64.2,175,734.3,705,29.6
1917,"1,299,600","23,464",18.1,"12,137",9.3,"1,625",69.3,173,737.3,691,29.4
1918,"1,321,400","25,682",19.4,"16,837",12.7,"1,769",68.9,253,985.1,730,28.4
1919,"1,343,200","25,112",18.7,"14,370",10.7,"1,584",63.1,216,860.1,730,29.1
1920,"1,356,600","27,072",20,"15,164",11.2,"1,797",66.4,249,919.8,888,32.8
1921,"1,385,700","27,267",19.7,"13,254",9.6,"1,512",55.5,192,704.1,852,31.2
1922,"1,407,100","25,378",18,"14,249",10.1,"1,566",61.7,190,748.7,731,28.8
1923,"1,427,300","25,259",17.7,"13,856",9.7,"1,428",56.5,159,629.5,680,26.9
1924,"1,447,200","25,378",17.5,"14,580",10.1,"1,426",56.2,167,658.1,711,28
1925,"1,467,600","24,741",16.9,"15,280",10.4,"1,395",56.4,140,565.9,667,27
1926,"1,487,600","23,989",16.1,"15,670",10.5,"1,352",56.4,174,725.3,719,30
1927,"1,507,800","23,315",15.5,"15,950",10.6,"1,162",49.8,151,647.7,650,27.9
1928,"1,528,200","23,161",15.2,"16,723",10.9,"1,115",48.1,175,755.6,641,27.7
1929,"1,548,400","22,685",14.7,"16,413",10.6,"1,110",48.9,150,661.2,572,25.2
1930,"1,563,400","23,019",14.7,"16,678",10.7,"1,122",48.7,148,642.9,601,26.1
1931,"1,585,000","22,028",13.9,"16,524",10.4,"1,064",48.3,141,640.1,591,26.8
1932,"1,602,500","21,379",13.3,"16,581",10.3,967,45.2,139,650.2,530,24.8
1933,"1,619,700","20,882",12.9,"16,705",10.3,811,38.8,140,670.4,446,21.4
1934,"1,636,900","22,484",13.7,"17,456",10.7,968,43.1,105,467,520,23.1
1935,"1,654,000","22,378",13.5,"18,046",10.9,998,44.6,120,536.2,469,21
1936,"1,671,400","23,354",14,"19,057",11.4,"1,064",45.6,115,492.4,468,20
1937,"1,689,100","24,882",14.7,"18,771",11.1,978,39.3,118,474.2,495,19.9
1938,"1,706,000","26,702",15.7,"18,514",10.9,"1,035",38.8,94,352,440,16.5
1939,"1,723,400","26,471",15.4,"18,528",10.8,977,36.9,97,366.4,450,17
1940,"1,736,200","27,952",16.1,"19,837",11.4,969,34.7,89,318.4,459,16.4
1941,"1,816,700","30,916",17,"19,359",10.7,"1,065",34.4,66,213.5,445,14.4
1942,"1,880,700","38,744",20.6,"20,190",10.7,"1,278",33,78,201.3,606,15.6
1943,"1,945,000","44,258",22.8,"22,017",11.3,"1,534",34.7,72,162.7,575,13
