year|18-19|20-24|25-29|30-34|35-39|40-44
1920|8129|26344|26251|17521|10427|3523
1921|8747|26583|27292|18433|11150|3572
1922|8125|24575|25154|17690|10584|3485
1923|8725|25887|25459|18072|10770|3476
1924|9877|28000|25781|18707|11395|3682
1925|10248|28116|26204|18869|11406|3695
1926|10496|28479|25876|18444|11219|3568
1927|10685|29302|25707|18790|11287|3722
1928|10788|28895|25003|17953|10913|3558
1929|11312|30582|25557|16957|10555|3523
1930|11476|29956|25861|17125|10684|3582
1931|10109|27255|23806|15937|9905|3317
1932|9297|25686|22608|14988|9314|3250
1933|8642|23874|21618|14298|8795|3173
1934|9039|25458|22507|14968|8391|3050
1935|9808|27631|22938|15026|8473|3029
1936|9764|28681|23584|14814|8194|2866
1937|10524|30532|24366|15022|7949|2653
1938|11024|32581|26116|15690|8397|2698
1939|10368|31036|26095|15976|8021|2416
1940|10671|32960|27860|16549|8146|2390
1941|11309|36833|31067|17132|8351|2361
1942|12721|43947|36034|19367|8985|2445
1943|11934|41627|37773|21449|9980|2615
1944|10113|36096|33654|21094|10636|2714
1945|9294|32790|33143|22831|11185|2970
1946|10899|45999|41985|25184|11811|3002
1947|15594|55954|47793|26296|12009|3073
1948|16245|53520|45059|25268|11391|2888
1949|16404|53608|46363|25971|11565|2906
1950|16310|53442|48186|27422|12392|2831
1951|17974|57340|52044|29674|13086|3040
1952|17206|58012|54198|31756|13880|3176
1953|18510|58070|54734|32948|14798|3350
1954|20522|60776|55962|35152|15862|3598
1955|21417|61952|56462|35968|16554|3862
1956|22808|66332|58392|36870|17282|4172
1957|23798|67086|58424|36980|17956|4160
1958|23034|65834|55130|36278|17892|4296
1959|21922|65426|53434|34934|18030|4424
1960|22786|65108|51842|33228|17410|4288
1961|23891|64336|50277|32456|17067|4363
1962|22702|62243|47109|29817|16160|4250
1963|21686|62834|46063|28364|15117|4359
1964|22526|62196|44671|26542|14509|4162
1965|24653|59439|40693|23767|13528|3886
1966|28690|60711|39225|21205|11846|3547
1967|27267|61541|40052|19840|10479|3059
1968|26390|60072|41561|18613|9095|2739
1969|28061|63376|44615|18535|8157|2433
1970|29764|65892|46262|19003|7904|2223
1971|28480|62367|43639|18259|6975|1926
1972|28108|54199|40442|16133|5805|1555
1973|27808|51284|39845|15520|5163|1277
1974|25977|49975|40215|15317|4291|1063
1975|24509|48675|40061|14891|4273|982
1976|22593|47161|41412|14893|4053|799
1977|22585|49740|43346|17293|4178|771
1978|21487|49498|43744|18367|4562|729
1979|21239|51319|46084|19962|4720|715
1980|20000|51218|47113|21024|4692|740
1981|18397|47737|46527|22178|4701|695
1982|17344|45586|45995|22564|5395|711
1983|16589|42034|45065|22505|5669|791
1984|16442|41664|45908|24320|6295|780
1985|16279|41125|47049|25491|6864|851
1986|16536|39611|46421|26331|7503|842
1987|16911|39314|47052|27795|8038|969
1988|17003|37529|45924|28469|8553|1094
1989|19149|39352|47853|30462|9571|1207
1990|20224|39993|48466|32058|10421|1382
1991|19325|39546|45995|32025|10627|1464
1992|18341|37446|43246|31496|11199|1604
1993|17198|35732|40975|31833|11682|1636
1994|17051|34448|39789|32148|12066|1846
1995|16444|32365|38669|31721|12458|2030
1996|15899|31231|39286|31472|12730|2168
1997|15358|31164|39403|31664|13327|2238
1998|15263|31063|39826|31379|13287|2437
1999|14540|31729|38851|31756|13721|2430
2000|14096|33140|38849|32577|14396|2602
2001|13438|32278|37140|33017|14279|2697
2002|12234|31579|35962|32819|13872|2670
2003|12202|31859|36648|32655|14322|2835
2004|12236|31291|36811|31815|14221|2937
2005|11794|31010|36908|30412|14058|2940
2006|12322|30966|37289|29771|14097|2741
2007|12493|30194|36806|28768|13838|2702
2008|12028|29143|35542|28015|13213|2804
2009|11708|28442|34515|27577|12146|2627
2010|10832|27814|33680|27515|11938|2622
2011|9655|27907|33703|28175|11719|2720
2012|8893|27616|33299|28398|11616|2595
2013|7870|27666|33882|29309|12106|2632
2014|6968|27134|34884|30165|12475|2573
2015|6352|25727|35104|30403|12889|2485
2016|5792|24362|35518|31393|13545|2519
2017|5307|22751|35894|30845|13751|2681
2018|5042|21621|35232|31452|13837|2667
2019|4758|20447|34095|31649|13967|2741
2020|4758|20447|34095|31649|13967|2741
2021|4758|20447|34095|31649|13967|2741
2022|4758|20447|34095|31649|13967|2741
2023|4758|20447|34095|31649|13967|2741
2024|4758|20447|34095|31649|13967|2741
2025|4758|20447|34095|31649|13967|2741
