Year,State,Deaths,MortalityRate,Population,sourceDeaths,NextPopulation,PopulationChange,Population Retained,Domestic Immigrants,Foreign Immigrants,Total Immigrants,Total Emigrants,CrudeBirthRate,Births
1914,Alabama,29554,13.3,2222125,calculated from mortality rate and population estimate,,,,,,,,29.9,66442
1915,Alabama,29609,13.2,2243134,calculated from mortality rate and population estimate,2222125,-21008.100000000093,,,,,,29.5,66172
1916,Alabama,31245,13.8,2264142,calculated from mortality rate and population estimate,2243134,-21008.100000000093,,,,,,29.1,65887
1917,Alabama,31992,14.0,2285150,calculated from mortality rate and population estimate,2264142,-21008.100000000093,,,,,,28.5,65127
1918,Alabama,41741,18.1,2306158,calculated from mortality rate and population estimate,2285150,-21008.099999999627,,,,,,28.2,65034
1919,Alabama,30020,12.9,2327166,calculated from mortality rate and population estimate,2306158,-21008.100000000093,,,,,,26.1,60739
1920,Alabama,30526,13.0,2348174,calculated from mortality rate and population estimate,2327166,-21008.100000000093,,,,,,27.7,65044
1921,Alabama,27347,11.5,2377981,calculated from mortality rate and population estimate,2348174,-29807.399999999907,,,,,,28.1,66821
1922,Alabama,28171,11.7,2407789,calculated from mortality rate and population estimate,2377981,-29807.399999999907,,,,,,26.2,63084
1923,Alabama,29495,12.1,2437596,calculated from mortality rate and population estimate,2407789,-29807.400000000373,,,,,,26.0,63378
1924,Alabama,28622,11.6,2467404,calculated from mortality rate and population estimate,2437596,-29807.399999999907,,,,,,26.1,64399
1925,Alabama,28718,11.5,2497211,calculated from mortality rate and population estimate,2467404,-29807.399999999907,,,,,,25.1,62680
1926,Alabama,29313,11.6,2527018,calculated from mortality rate and population estimate,2497211,-29807.399999999907,,,,,,24.2,61154
1927,Alabama,26591,10.4,2556826,calculated from mortality rate and population estimate,2527018,-29807.399999999907,,,,,,23.5,60085
1928,Alabama,31298,12.1,2586633,calculated from mortality rate and population estimate,2556826,-29807.400000000373,,,,,,22.2,57423
1929,Alabama,32182,12.3,2616441,calculated from mortality rate and population estimate,2586633,-29807.399999999907,,,,,,21.2,55469
1930,Alabama,30432,11.5,2646248,calculated from mortality rate and population estimate,2616441,-29807.399999999907,,,,,,21.3,56365
1931,Alabama,28248,10.6,2664919,calculated from mortality rate and population estimate,2646248,-18671.299999999814,,,,,,20.2,53831
1932,Alabama,27641,10.3,2683591,calculated from mortality rate and population estimate,2664919,-18671.30000000028,,,,,,19.5,52330
1933,Alabama,27023,10.0,2702262,calculated from mortality rate and population estimate,2683591,-18671.299999999814,,,,,,18.4,49722
1934,Alabama,29114,10.7,2720933,calculated from mortality rate and population estimate,2702262,-18671.30000000028,,,,,,19.0,51698
1935,Alabama,28218,10.3,2739604,calculated from mortality rate and population estimate,2720933,-18671.299999999814,,,,,,18.7,51231
1936,Alabama,30617,11.1,2758276,calculated from mortality rate and population estimate,2739604,-18671.299999999814,,,,,,19.0,52407
1937,Alabama,30546,11.0,2776947,calculated from mortality rate and population estimate,2758276,-18671.30000000028,,,,,,18.7,51929
1938,Alabama,29354,10.5,2795618,calculated from mortality rate and population estimate,2776947,-18671.299999999814,,,,,,19.2,53676
1939,Alabama,28143,10.0,2814290,calculated from mortality rate and population estimate,2795618,-18671.30000000028,,,,,,18.8,52909
1940,Alabama,29463,10.4,2832961,calculated from mortality rate and population estimate,2814290,-18671.299999999814,,,,,,19.4,54959
1941,Alabama,29986,10.5,2855839,calculated from mortality rate and population estimate,2832961,-22878.200000000186,,,,,,20.3,57974
1942,Alabama,29651,10.3,2878717,calculated from mortality rate and population estimate,2855839,-22878.19999999972,,,,,,22.2,63908
1943,Alabama,31627,10.9,2901596,calculated from mortality rate and population estimate,2878717,-22878.200000000186,,,,,,22.7,65866
1944,Alabama,30999,10.6,2924474,calculated from mortality rate and population estimate,2901596,-22878.19999999972,,,,,,21.2,61999
1945,Alabama,31242,10.6,2947352,calculated from mortality rate and population estimate,2924474,-22878.200000000186,,,,,,20.4,60126
1946,Alabama,29702,10.0,2970230,calculated from mortality rate and population estimate,2947352,-22878.200000000186,,,,,,24.1,71583
1947,Alabama,30230,10.1,2993108,calculated from mortality rate and population estimate,2970230,-22878.19999999972,,,,,,26.6,79617
1948,Alabama,29858,9.9,3015987,calculated from mortality rate and population estimate,2993108,-22878.200000000186,,,,,,24.9,75098
1949,Alabama,29477,9.7,3038865,calculated from mortality rate and population estimate,3015987,-22878.19999999972,,,,,,24.5,74452
1950,Alabama,29393,9.6,3061743,calculated from mortality rate and population estimate,3038865,-22878.200000000186,,,,,,23.71,72594
1951,Alabama,29898,9.7,3082243,calculated from mortality rate and population estimate,3061743,-20499.700000000186,,,,,,23.928,73752
1952,Alabama,29786,9.6,3102742,calculated from mortality rate and population estimate,3082243,-20499.69999999972,,,,,,24.313,75437
1953,Alabama,29983,9.6,3123242,calculated from mortality rate and population estimate,3102742,-20499.700000000186,,,,,,24.599,76829
1954,Alabama,28922,9.2,3143742,calculated from mortality rate and population estimate,3123242,-20499.69999999972,,,,,,24.784,77914
1955,Alabama,29427,9.3,3164242,calculated from mortality rate and population estimate,3143742,-20499.700000000186,,,,,,24.869,78692
1956,Alabama,29937,9.4,3184741,calculated from mortality rate and population estimate,3164242,-20499.700000000186,,,,,,24.852,79147
1957,Alabama,30770,9.6,3205241,calculated from mortality rate and population estimate,3184741,-20499.69999999972,,,,,,24.731,79269
1958,Alabama,30645,9.5,3225741,calculated from mortality rate and population estimate,3205241,-20499.700000000186,,,,,,24.505,79047
1959,Alabama,30515,9.4,3246240,calculated from mortality rate and population estimate,3225741,-20499.69999999972,,,,,,24.169,78458
1960,Alabama,31034,9.5,3266740,calculated from mortality rate and population estimate,3246240,-20499.700000000186,,,,,,23.72,77487
1961,Alabama,30546,9.3,3284482,calculated from mortality rate and population estimate,3266740,-17742.5,,,,,,23.159,76065
1962,Alabama,31371,9.5,3302225,calculated from mortality rate and population estimate,3284482,-17742.5,,,,,,22.491,74270
1963,Alabama,31872,9.6,3319968,calculated from mortality rate and population estimate,3302225,-17742.5,,,,,,21.735,72159
1964,Alabama,31374,9.4,3337710,calculated from mortality rate and population estimate,3319968,-17742.5,,,,,,20.918,69818
1965,Alabama,31541,9.4,3355452,calculated from mortality rate and population estimate,3337710,-17742.5,,,,,,20.075,67361
1966,Alabama,32045,9.5,3373195,calculated from mortality rate and population estimate,3355452,-17742.5,,,,,,19.24,64900
