EMAIL_ADDRESS,count
G@GMAIL.COM,3521
X@GMAIL.COM,2778
DECLINED,2750
.,1863
NOEMAIL@CO.SKAGIT.WA.US,1629
NONE PER PT,1434
1@GMAIL.COM,1375
CHILD@HEALTHPOINTCHC.ORG,1301
INFO@DOH.WA.GOV,1209
NONE@CATHOLICHEALTH.NET,1172
NOEMAIL@GMAIL.COM,939
NOEMAIL@NOEMAIL.COM,880
NONE@NONE.COM,852
999AZ999@YAHOO.COM,760
A@MSN.COM,592
NA,522
A@GMAIL.COM,515
DECLINED@CATHOLICHEALTH.NET,484
COVID19@YAHOO.COM,484
NULL,451
123@GMAIL.COM,410
XXX@GMAIL.COM,374
NOEMAIL@EMAIL.COM,328
M@N.COM,305
EMAIL@EMAIL.COM,299
NONE@GMAIL.COM,290
123@123.COM,285
K@GMAIL.COM,264
REFUSED@HEALTHPOINTCHC.ORG,255
X@G,242
NONE PER PATIENT,239
TEST@TEST.COM,211
N/A,208
M@M,205
NOEMAIL@HOTMAIL.COM,195
NONE@CHIFRANCISCAN.ORG,173
NO@GMAIL.COM,170
NO@EMAIL.COM,166
UNKNOWN@GMAIL.COM,163
MOE@GMAIL.COM,154
NONE@YVFWC.ORG,152
NONE@CATHOLICHEALTH.COM,151
NONE@NONE,148
N@A,133
123@GMAIL,129
NONE@EMAIL.COM,114
X@G.COM,111
GGG@GMAIL.COM,111
FMH,110
NOEMAIL@KADLEC.ORG,103
LOL@GMAIL.COM,99
1@1,92
,
