first_name,nickname
ADRIAN,ADRI
ADRIAN,ADRIANCITO
ALBERTO,AL
ALBERTO,ALBERT
ALBERTO,ALBY
ALBERTO,BETO
ALBERTO,BEBETO
ALBERTO,BETIN
ALEJANDRO,ALEX
ALEJANDRO,ALEJO
ALEJANDRO,JANDO
ALEJANDRO,JANDRO
ALFONSO,PONCHO
ALFONSO,MONCHO
ALFONSO,FONSO
ANASTASIO,TACHO
ANTONIO,TONY
ANTONIO,TONO
ANTONIO,TONITO
BENJAMIN,BEN
BENJAMIN,BENNY
BENJAMIN,BENJA
BENJAMIN,BENJAMON
BENJAMIN,BENJI
BENJAMIN,CHAMIN
BENJAMIN,MINCHO
BERNARDO,BERNA
BERNARDO,BERNI
CARLOS,CARLANGAS
CARLOS,CARLITOS
CARLOS,CHARLY
CARLOS,CHARLES
CUAUHTEMOC,TEMO
DANIEL,DANI
EDUARDO,EDU
EDUARDO,EDUARDITOEDDY
EDUARDO,LALO
EDUARDO,YAYO
EMILIO,EMI
EMILIO,MILO
EMMANUEL,EMMA
EMMANUEL,MANE
EMMANUEL,MANU
EMMANUEL,MANY
ENRIQUE,QUIQUE
ENRIQUE,RICKY
ENRIQUE,ROQUE
ENRIQUE,
ERNESTO,ERNI
ERNESTO,NESTI
ERNESTO,NESTOR
ERNESTO,NETO
FABIAN,FABIANCITO
FABIAN,FITO
FEDERICO,FEDE
FEDERICO,FREDDY
FEDERICO,KIKO
FEDERICO,KIKI
FELIPE,FELI
FELIPE,FELIPIN
FELIPE,GELIPE
FELIPE,PIPE
FELIPE,PIPO
FERNANDO,FER
FERNANDO,FERCHO
FERNANDO,FERNA
FERNANDO,FERNANDITO
FERNANDO,FERNY
FRANCISCO,CISCO
FRANCISCO,CHISCO
FRANCISCO,CURRO
FRANCISCO,FRAN
FRANCISCO,FRANCIS
FRANCISCO,FRANCO
FRANCISCO,FRANCHU
FRANCISCO,FRANK
FRANCISCO,PACO
FRANCISCO,PANCHO
FRANCISCO,PAQUITO
FRANCISCO,QUICO
GABRIEL,GABY
GABRIEL,GABITO
GABRIEL,GABO
GERARDO,GERA
GERARDO,GERARDITO
GERARDO,GERRY
GREGORIO,GREGO
GREGORIO,GREGOR
GREGORIO,GOYO
GREGORIO,GOYITO
GUADALUPE,LUPE
GUADALUPE,LUPILLO
GUADALUPE,LUPITO
GUILLERMO,GUILLE
GUILLERMO,MEMIN
GUILLERMO,MEMO
GUSTAVO,GUS
GUSTAVO,TAVITO
GUSTAVO,TAVO
IGNACIO,NACHO
IGNACIO,NACHIN
IGNACIO,IGNA
IGNACIO,INAKI
IGNACIO,NACO
ISMAEL,ISMA
JESUS,CHUCHO
JESUS,CHUY
JESUS,CHUYITO
JESUS,CHUS
JOAQUIN,JOACO
JOAQUIN,CHIMO
JOAQUIN,KIKIN
JOAQUIN,QUINO
JOAQUIN,QUINCHO
JORGE,COCO
JORGE,COQUE
JOSE,CHEPE
JOSE,JOSECITO
JOSE,PEPE
JOSE,PEPITO
JOSEMARIA,CHEMA
