Date of interview,Wireless only,Landline with wireless,Landline without wireless
Jan. 2005,7.3,42.4,34.4
Jul-05,8.4,42.6,32.4
Jan. 2006,10.5,45.6,30.9
Jul-06,12.8,44.3,29.6
Jan. 2007,13.6,58.9,23.8
Jul-07,15.8,58.8,21.8
Jan. 2008,17.5,58.5,20.6
Jul-08,20.2,59.6,17.4
Jan. 2009,22.7,59.4,15.5
Jul-09,24.5,58.2,14.9
Jan. 2010,26.6,58.1,12.9
Jan. 2011,31.6,55,11.2
Jul-11,34,53.4,10.2
Jan. 2012,35.8,52.5,9.4
Jul-12,38.2,50.8,8.6
Jan. 2013,39.4,49.5,8.5
Jul-13,41,47.7,8.6
Jan. 2014,44,44.7,8.5
Jul-14,45.4,42.7,8.4
Jan. 2015,47.4,41.6,7.6
Jul-15,48.3,41.2,7.2
Jan. 2016,49.3,40.2,7.2
Jul-16,50.8,39.4,6.5
Jan. 2017,52.5,37.8,5.9
Jul-17,53.9,36.9,5.8
Jan. 2018,54.9,36.3,5.4
