year,perc
1980,0.0002
1981,0.0003
1982,0.0004
1983,0.0005
1984,0.0007000000000000001
1985,0.0009
1986,0.0012
1987,0.0017000000000000001
1988,0.0022
1989,0.003
1990,0.0040999999999999995
1991,0.005600000000000001
1992,0.0076
1993,0.01
1994,0.013999999999999999
1995,0.019
1996,0.025
1997,0.034
1998,0.045
1999,0.06
2000,0.08
2001,0.106
2002,0.138
2003,0.179
2004,0.228
2005,0.28600000000000003
2006,0.35200000000000004
2007,0.424
2008,0.5
2009,0.5760000000000001
2010,0.648
2011,0.7140000000000001
2012,0.772
2013,0.821
2014,0.862
2015,0.894
2016,0.92
2017,0.94
2018,0.955
2019,0.966
2020,0.975
2021,0.981
2022,0.986
2023,0.99
2024,0.992
2025,0.9940000000000001
