CurrentState,Year,Population Retained,Domestic Immigrants,Foreign Immigrants,Total Immigrants,Total Emigrants,Assumed Population
Alabama,2005,,789319,,789319,97191.0,
Alaska,2005,,169239,,169239,53714.0,
Arizona,2005,,1363690,,1363690,157544.0,
Arkansas,2005,,553310,,553310,66074.0,
California,2005,,6072215,,6072215,718417.0,
Colorado,2005,,1028203,,1028203,152522.0,
Connecticut,2005,,464690,,464690,86070.0,
Delaware,2005,,148749,,148749,22787.0,
District of Columbia ,2005,,137787,,137787,50181.0,
Florida,2005,,3509848,,3509848,450565.0,
Georgia,2005,,1768230,,1768230,226665.0,
Hawaii,2005,,212737,,212737,46751.0,
Idaho,2005,,322356,,322356,48527.0,
Illinois,2005,,1995565,,1995565,265668.0,
Indiana,2005,,1060609,,1060609,138133.0,
Iowa,2005,,507687,,507687,75104.0,
Kansas,2005,,543794,,543794,81566.0,
Kentucky,2005,,711028,,711028,90893.0,
Louisiana,2005,,862910,,862910,175420.0,
Maine,2005,,216006,,216006,34535.0,
Maryland,2005,,937994,,937994,173362.0,
Massachusetts,2005,,952112,,952112,161887.0,
Michigan,2005,,1519482,,1519482,177623.0,
Minnesota,2005,,789323,,789323,101436.0,
Mississippi,2005,,538130,,538130,84867.0,
Missouri,2005,,1045940,,1045940,137161.0,
Montana,2005,,196121,,196121,31923.0,
Nebraska,2005,,309543,,309543,47045.0,
Nevada,2005,,589919,,589919,103617.0,
New Hampshire,2005,,213298,,213298,46984.0,
New Jersey,2005,,1121448,,1121448,196069.0,
New Mexico,2005,,390859,,390859,63083.0,
New York,2005,,2462152,,2462152,474593.0,
North Carolina,2005,,1580098,,1580098,212708.0,
North Dakota,2005,,109443,,109443,21147.0,
Ohio,2005,,1849072,,1849072,216207.0,
Oklahoma,2005,,719199,,719199,90859.0,
Oregon,2005,,809491,,809491,103869.0,
Pennsylvania,2005,,1612901,,1612901,220536.0,
Puerto Rico,2005,,371236,,371236,47208.0,
Rhode Island,2005,,151681,,151681,38968.0,
South Carolina,2005,,723372,,723372,110157.0,
South Dakota,2005,,144361,,144361,24791.0,
Tennessee,2005,,1097086,,1097086,140729.0,
Texas,2005,,4373768,,4373768,380362.0,
Utah,2005,,545674,,545674,84271.0,
Vermont,2005,,108189,,108189,23440.0,
Virginia,2005,,1340798,,1340798,231945.0,
Washington,2005,,1339253,,1339253,173787.0,
West Virginia,2005,,251939,,251939,45758.0,
Wisconsin,2005,,874532,,874532,102450.0,
Wyoming,2005,,115096,,115096,26931.0,
Alabama,2006,,833381,,833381,101626.0,
Alaska,2006,,203161,,203161,63403.0,
Arizona,2006,,1417052,,1417052,193632.0,
Arkansas,2006,,599965,,599965,76060.0,
California,2006,,6445034,,6445034,746676.0,
Colorado,2006,,1080930,,1080930,163319.0,
Connecticut,2006,,567977,,567977,112753.0,
Delaware,2006,,149493,,149493,31605.0,
District of Columbia ,2006,,168378,,168378,60829.0,
Florida,2006,,3646255,,3646255,541209.0,
Georgia,2006,,1971160,,1971160,234281.0,
Hawaii,2006,,256042,,256042,72333.0,
Idaho,2006,,361322,,361322,58672.0,
Illinois,2006,,2223554,,2223554,323308.0,
Indiana,2006,,1196909,,1196909,151391.0,
Iowa,2006,,575825,,575825,76483.0,
Kansas,2006,,596975,,596975,87436.0,
Kentucky,2006,,797382,,797382,99343.0,
Louisiana,2006,,1076227,,1076227,277682.0,
Maine,2006,,224763,,224763,36080.0,
Maryland,2006,,989595,,989595,187196.0,
Massachusetts,2006,,1043267,,1043267,178374.0,
Michigan,2006,,1611963,,1611963,200440.0,
Minnesota,2006,,842775,,842775,119421.0,
Mississippi,2006,,598367,,598367,106010.0,
Missouri,2006,,1170753,,1170753,160918.0,
Montana,2006,,194757,,194757,31848.0,
Nebraska,2006,,371665,,371665,57459.0,
Nevada,2006,,650422,,650422,109537.0,
New Hampshire,2006,,219731,,219731,42072.0,
New Jersey,2006,,1201089,,1201089,244952.0,
New Mexico,2006,,389328,,389328,65344.0,
New York,2006,,2695551,,2695551,513306.0,
North Carolina,2006,,1750168,,1750168,221889.0,
North Dakota,2006,,133316,,133316,25155.0,
Ohio,2006,,2006440,,2006440,230738.0,
Oklahoma,2006,,780700,,780700,100809.0,
Oregon,2006,,855366,,855366,116524.0,
Pennsylvania,2006,,1787406,,1787406,228620.0,
Puerto Rico,2006,,372381,,372381,67110.0,
Rhode Island,2006,,176225,,176225,35057.0,
South Carolina,2006,,828145,,828145,121049.0,
South Dakota,2006,,157186,,157186,28398.0,
Tennessee,2006,,1141788,,1141788,153154.0,
Texas,2006,,4871385,,4871385,461957.0,
Utah,2006,,600217,,600217,81797.0,
Vermont,2006,,113441,,113441,24020.0,
Virginia,2006,,1483149,,1483149,253749.0,
Washington,2006,,1413906,,1413906,184156.0,
West Virginia,2006,,269825,,269825,41825.0,
Wisconsin,2006,,956092,,956092,113826.0,
Wyoming,2006,,125099,,125099,29846.0,
Alabama,2007,,855487,,855487,113085.0,
Alaska,2007,,198108,,198108,63013.0,
Arizona,2007,,1381743,,1381743,189415.0,
Arkansas,2007,,598629,,598629,83680.0,
California,2007,,5979613,,5979613,668021.0,
Colorado,2007,,1083050,,1083050,176007.0,
Connecticut,2007,,516308,,516308,101599.0,
Delaware,2007,,154032,,154032,30348.0,
District of Columbia ,2007,,166612,,166612,60777.0,
Florida,2007,,3439354,,3439354,538034.0,
Georgia,2007,,1920377,,1920377,261233.0,
Hawaii,2007,,251223,,251223,66468.0,
Idaho,2007,,325017,,325017,48830.0,
Illinois,2007,,2047893,,2047893,298703.0,
Indiana,2007,,1161200,,1161200,151112.0,
Iowa,2007,,542971,,542971,70571.0,
Kansas,2007,,577089,,577089,92441.0,
Kentucky,2007,,767495,,767495,103817.0,
Louisiana,2007,,774831,,774831,117192.0,
Maine,2007,,214528,,214528,35037.0,
Maryland,2007,,927294,,927294,193453.0,
Massachusetts,2007,,990910,,990910,179090.0,
Michigan,2007,,1598715,,1598715,210049.0,
Minnesota,2007,,826070,,826070,115369.0,
Mississippi,2007,,548694,,548694,86583.0,
Missouri,2007,,1117631,,1117631,155313.0,
Montana,2007,,188751,,188751,29873.0,
Nebraska,2007,,351913,,351913,53621.0,
Nevada,2007,,613992,,613992,111324.0,
New Hampshire,2007,,230985,,230985,46624.0,
New Jersey,2007,,1100209,,1100209,216947.0,
New Mexico,2007,,375370,,375370,72600.0,
New York,2007,,2562694,,2562694,447109.0,
North Carolina,2007,,1754296,,1754296,221334.0,
North Dakota,2007,,124052,,124052,21057.0,
Ohio,2007,,1920693,,1920693,213970.0,
Oklahoma,2007,,787643,,787643,90415.0,
Oregon,2007,,786201,,786201,107398.0,
Pennsylvania,2007,,1775893,,1775893,243822.0,
Puerto Rico,2007,,360005,,360005,60388.0,
Rhode Island,2007,,171046,,171046,36726.0,
South Carolina,2007,,775904,,775904,101277.0,
South Dakota,2007,,148640,,148640,23402.0,
Tennessee,2007,,1148499,,1148499,162700.0,
Texas,2007,,4778153,,4778153,421775.0,
Utah,2007,,546125,,546125,72627.0,
Vermont,2007,,111534,,111534,25085.0,
Virginia,2007,,1440277,,1440277,248688.0,
Washington,2007,,1291741,,1291741,167375.0,
West Virginia,2007,,276019,,276019,44667.0,
Wisconsin,2007,,946577,,946577,119593.0,
Wyoming,2007,,129952,,129952,26754.0,
Alabama,2008,,795670,,795670,100849.0,
Alaska,2008,,235788,,235788,85376.0,
Arizona,2008,,1377602,,1377602,187722.0,
Arkansas,2008,,581383,,581383,77978.0,
California,2008,,5889239,,5889239,585660.0,
Colorado,2008,,1093449,,1093449,165958.0,
Connecticut,2008,,511272,,511272,99363.0,
Delaware,2008,,154679,,154679,31543.0,
District of Columbia ,2008,,166976,,166976,58964.0,
Florida,2008,,3352621,,3352621,514421.0,
Georgia,2008,,1870588,,1870588,257697.0,
Hawaii,2008,,241734,,241734,56356.0,
Idaho,2008,,346439,,346439,59116.0,
Illinois,2008,,1970886,,1970886,301750.0,
Indiana,2008,,1126398,,1126398,132599.0,
Iowa,2008,,555876,,555876,73294.0,
Kansas,2008,,567915,,567915,89761.0,
Kentucky,2008,,724964,,724964,91909.0,
Louisiana,2008,,765048,,765048,109059.0,
Maine,2008,,218719,,218719,31723.0,
Maryland,2008,,880057,,880057,175853.0,
Massachusetts,2008,,982498,,982498,154724.0,
Michigan,2008,,1631149,,1631149,203739.0,
Minnesota,2008,,817997,,817997,115956.0,
Mississippi,2008,,505791,,505791,70345.0,
Missouri,2008,,1121975,,1121975,151632.0,
Montana,2008,,199953,,199953,36217.0,
Nebraska,2008,,341882,,341882,51732.0,
Nevada,2008,,624925,,624925,104099.0,
New Hampshire,2008,,208110,,208110,41623.0,
New Jersey,2008,,1059688,,1059688,211311.0,
New Mexico,2008,,385473,,385473,68128.0,
New York,2008,,2446681,,2446681,418960.0,
North Carolina,2008,,1742834,,1742834,234941.0,
North Dakota,2008,,127804,,127804,24344.0,
Ohio,2008,,1894097,,1894097,218975.0,
Oklahoma,2008,,784651,,784651,96782.0,
Oregon,2008,,761224,,761224,111150.0,
Pennsylvania,2008,,1736521,,1736521,230334.0,
Puerto Rico,2008,,381463,,381463,67862.0,
Rhode Island,2008,,159863,,159863,34489.0,
South Carolina,2008,,765397,,765397,115943.0,
South Dakota,2008,,144199,,144199,25707.0,
Tennessee,2008,,1140168,,1140168,151848.0,
Texas,2008,,4597634,,4597634,408036.0,
Utah,2008,,540952,,540952,73941.0,
Vermont,2008,,104941,,104941,24177.0,
Virginia,2008,,1433903,,1433903,243123.0,
Washington,2008,,1271525,,1271525,170559.0,
West Virginia,2008,,274435,,274435,50147.0,
Wisconsin,2008,,900451,,900451,111434.0,
Wyoming,2008,,123736,,123736,30860.0,
Alabama,2009,,811154,,811154,106681.0,
Alaska,2009,,219093,,219093,71568.0,
Arizona,2009,,1479574,,1479574,197213.0,
Arkansas,2009,,568431,,568431,65829.0,
California,2009,,6245190,,6245190,546589.0,
Colorado,2009,,1058946,,1058946,155042.0,
Connecticut,2009,,484100,,484100,94322.0,
Delaware,2009,,152129,,152129,29135.0,
District of Columbia ,2009,,139228,,139228,53165.0,
Florida,2009,,3381219,,3381219,451268.0,
Georgia,2009,,1852922,,1852922,252539.0,
Hawaii,2009,,261700,,261700,64417.0,
Idaho,2009,,308765,,308765,58805.0,
Illinois,2009,,1896355,,1896355,278162.0,
Indiana,2009,,1110386,,1110386,143979.0,
Iowa,2009,,528420,,528420,69870.0,
Kansas,2009,,576943,,576943,88943.0,
Kentucky,2009,,749043,,749043,94414.0,
Louisiana,2009,,719363,,719363,90189.0,
Maine,2009,,194524,,194524,32340.0,
Maryland,2009,,915882,,915882,159096.0,
Massachusetts,2009,,967395,,967395,141056.0,
Michigan,2009,,1620830,,1620830,206343.0,
Minnesota,2009,,835358,,835358,112812.0,
Mississippi,2009,,500458,,500458,74014.0,
Missouri,2009,,1089690,,1089690,139009.0,
Montana,2009,,190417,,190417,30285.0,
Nebraska,2009,,350867,,350867,43712.0,
Nevada,2009,,648748,,648748,111689.0,
New Hampshire,2009,,218149,,218149,48422.0,
New Jersey,2009,,989702,,989702,189956.0,
New Mexico,2009,,367794,,367794,65986.0,
New York,2009,,2410109,,2410109,382520.0,
North Carolina,2009,,1634396,,1634396,228778.0,
North Dakota,2009,,131038,,131038,21343.0,
Ohio,2009,,1827986,,1827986,206357.0,
Oklahoma,2009,,750308,,750308,90004.0,
Oregon,2009,,754551,,754551,101288.0,
Pennsylvania,2009,,1703317,,1703317,205772.0,
Puerto Rico,2009,,344840,,344840,62074.0,
Rhode Island,2009,,168191,,168191,32278.0,
South Carolina,2009,,761531,,761531,116087.0,
South Dakota,2009,,154533,,154533,26107.0,
Tennessee,2009,,1109167,,1109167,159516.0,
Texas,2009,,4629349,,4629349,380932.0,
Utah,2009,,531119,,531119,82216.0,
Vermont,2009,,102743,,102743,24012.0,
Virginia,2009,,1449765,,1449765,248926.0,
Washington,2009,,1260523,,1260523,179350.0,
West Virginia,2009,,266911,,266911,47036.0,
Wisconsin,2009,,894821,,894821,100137.0,
Wyoming,2009,,117580,,117580,30372.0,
Alabama,2010,4607620,108723,13166,121889,99221.0,4630288.0
Alaska,2010,660909,36326,5739,42065,94692.0,608282.0
Arizona,2010,6070993,222725,39068,261793,176768.0,6156018.0
Arkansas,2010,2800803,79127,8374,87501,64264.0,2824040.0
California,2010,36203508,444749,259640,704389,573988.0,36333909.0
Colorado,2010,4767452,186366,34372,220738,140620.0,4847570.0
